,Active season,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Real_value
202,0,Charles Barkley,Phoenix Suns,,"Dec 13, 1992",PF,78,252,30,1984,8,1992-1993,1993,1.0
203,0,Drazen Petrovic,New Jersey Nets,,"Dec 6, 1992",SG,77,200,28,1986,3,1992-1993,1993,1.0
204,0,David Robinson,San Antonio Spurs,,"Nov 29, 1992",C,85,250,27,1987,3,1992-1993,1993,1.0
205,0,Michael Jordan,Chicago Bulls,,"Nov 22, 1992",SG,78,215,30,1984,8,1992-1993,1993,1.0
206,0,Shaquille O'Neal,Orlando Magic,,"Nov 15, 1992",C,85,325,20,1992,0,1992-1993,1993,1.0
207,0,David Robinson,San Antonio Spurs,,"Apr 24, 1994",C,85,250,28,1987,4,1993-1994,1994,1.0
208,0,Scottie Pippen,Chicago Bulls,,"Apr 17, 1994",SF,80,228,28,1987,6,1993-1994,1994,1.0
209,0,Dikembe Mutombo,Denver Nuggets,,"Apr 10, 1994",C,86,260,27,1991,2,1993-1994,1994,1.0
210,0,Shawn Kemp,Seattle SuperSonics,,"Apr 3, 1994",C,82,280,24,1989,4,1993-1994,1994,1.0
211,0,Kevin Willis,Atlanta Hawks,,"Mar 27, 1994",C,84,245,31,1984,9,1993-1994,1994,1.0
212,0,Hakeem Olajuwon,Houston Rockets,,"Mar 20, 1994",C,84,255,31,1984,9,1993-1994,1994,1.0
213,0,Joe Dumars,Detroit Pistons,,"Mar 13, 1994",SG,75,190,30,1985,8,1993-1994,1994,1.0
214,0,David Robinson,San Antonio Spurs,,"Mar 6, 1994",C,85,250,28,1987,4,1993-1994,1994,1.0
215,0,Shawn Kemp,Seattle SuperSonics,,"Feb 27, 1994",C,82,280,24,1989,4,1993-1994,1994,1.0
216,0,David Robinson,San Antonio Spurs,,"Feb 20, 1994",C,85,250,28,1987,4,1993-1994,1994,1.0
217,0,David Robinson,San Antonio Spurs,,"Feb 6, 1994",C,85,250,28,1987,4,1993-1994,1994,1.0
218,0,Ron Harper,Los Angeles Clippers,,"Jan 30, 1994",SG,78,185,30,1986,7,1993-1994,1994,1.0
219,0,Kenny Anderson,New Jersey Nets,,"Jan 23, 1994",PG,72,168,23,1991,2,1993-1994,1994,1.0
220,0,Patrick Ewing,New York Knicks,,"Jan 16, 1994",C,84,240,31,1985,8,1993-1994,1994,1.0
221,0,Chris Webber,Golden State Warriors,,"Jan 9, 1994",F-C,81,245,20,1993,0,1993-1994,1994,1.0
